Accession,Species,Genus
PP296660.1,Human papillomavirus,
PP296661.1,Human papillomavirus,
PP296662.1,Human papillomavirus,
PP296663.1,Human papillomavirus,
PP296664.1,Human papillomavirus,
PP296665.1,Human papillomavirus,
PP296666.1,Human papillomavirus,
PP296667.1,Human papillomavirus,
PP296668.1,Human papillomavirus,
PP296669.1,Human papillomavirus,
PP296670.1,Human papillomavirus,
PP296671.1,Human papillomavirus,
PP296672.1,Human papillomavirus,
PP296673.1,Human papillomavirus,
PP296674.1,Human papillomavirus,
PP296675.1,Human papillomavirus,
PP296676.1,Human papillomavirus,
PP296677.1,Human papillomavirus,
PP296678.1,Human papillomavirus,
PP296679.1,Human papillomavirus,
PP296680.1,Human papillomavirus,
PP296681.1,Human papillomavirus,
PP296682.1,Human papillomavirus,
PP296683.1,Human papillomavirus,
PP296684.1,Human papillomavirus,
PP296685.1,Human papillomavirus,
PP296686.1,Human papillomavirus,
PP296687.1,Human papillomavirus,
PP349731.1,Alphapapillomavirus 7,Alphapapillomavirus
PP349732.1,Alphapapillomavirus 7,Alphapapillomavirus
PP349733.1,Alphapapillomavirus 7,Alphapapillomavirus
PP349734.1,Alphapapillomavirus 7,Alphapapillomavirus
PP349735.1,Alphapapillomavirus 7,Alphapapillomavirus
PP349736.1,Alphapapillomavirus 7,Alphapapillomavirus
PP349737.1,Alphapapillomavirus 7,Alphapapillomavirus
PP349738.1,Alphapapillomavirus 7,Alphapapillomavirus
PP349739.1,Alphapapillomavirus 7,Alphapapillomavirus
PP349740.1,Alphapapillomavirus 7,Alphapapillomavirus
OQ320390.1,Sigmapapillomavirus 1,Sigmapapillomavirus
OQ320391.1,Erethizon dorsatum papillomavirus 2,
OR915584.1,Lambdapapillomavirus 1,Lambdapapillomavirus
OR915585.1,Lambdapapillomavirus 1,Lambdapapillomavirus
OR915586.1,Lambdapapillomavirus 1,Lambdapapillomavirus
OR915587.1,Lambdapapillomavirus 1,Lambdapapillomavirus
OR915588.1,Lambdapapillomavirus 1,Lambdapapillomavirus
OR915589.1,Lambdapapillomavirus 1,Lambdapapillomavirus
OR915590.1,Lambdapapillomavirus 1,Lambdapapillomavirus
OR915591.1,Caracal caracal papillomavirus 5,Treisetapapillomavirus
OR915592.1,Caracal caracal papillomavirus 5,Treisetapapillomavirus
OR915593.1,Caracal caracal papillomavirus 6,Treisetapapillomavirus
PP093683.1,Alphapapillomavirus 13,Alphapapillomavirus
PP093684.1,Alphapapillomavirus 9,Alphapapillomavirus
PP093685.1,Alphapapillomavirus 14,Alphapapillomavirus
PP093686.1,Alphapapillomavirus 9,Alphapapillomavirus
PP093687.1,Alphapapillomavirus 13,Alphapapillomavirus
PP093688.1,Alphapapillomavirus 9,Alphapapillomavirus
PP093689.1,Alphapapillomavirus 6,Alphapapillomavirus
PP093690.1,Alphapapillomavirus 3,Alphapapillomavirus
PP093691.1,Alphapapillomavirus 6,Alphapapillomavirus
PP212995.1,Alphapapillomavirus 9,Alphapapillomavirus
PP212996.1,Alphapapillomavirus 9,Alphapapillomavirus
PP212997.1,Alphapapillomavirus 9,Alphapapillomavirus
PP212998.1,Alphapapillomavirus 9,Alphapapillomavirus
PP212999.1,Alphapapillomavirus 9,Alphapapillomavirus
PP213000.1,Alphapapillomavirus 9,Alphapapillomavirus
PP213001.1,Alphapapillomavirus 9,Alphapapillomavirus
PP213002.1,Alphapapillomavirus 9,Alphapapillomavirus
PP213003.1,Alphapapillomavirus 9,Alphapapillomavirus
PP213004.1,Alphapapillomavirus 9,Alphapapillomavirus
PP213005.1,Alphapapillomavirus 9,Alphapapillomavirus
PP213006.1,Alphapapillomavirus 9,Alphapapillomavirus
PP213007.1,Alphapapillomavirus 9,Alphapapillomavirus
PP213008.1,Alphapapillomavirus 9,Alphapapillomavirus
PP213009.1,Alphapapillomavirus 9,Alphapapillomavirus
PP213010.1,Alphapapillomavirus 9,Alphapapillomavirus
PP213011.1,Alphapapillomavirus 9,Alphapapillomavirus
PP213012.1,Alphapapillomavirus 9,Alphapapillomavirus
PP213013.1,Alphapapillomavirus 9,Alphapapillomavirus
PP213014.1,Alphapapillomavirus 9,Alphapapillomavirus
PP213015.1,Alphapapillomavirus 9,Alphapapillomavirus
PP213016.1,Alphapapillomavirus 9,Alphapapillomavirus
PP213017.1,Alphapapillomavirus 9,Alphapapillomavirus
PP213018.1,Alphapapillomavirus 9,Alphapapillomavirus
PP213019.1,Alphapapillomavirus 9,Alphapapillomavirus
PP213020.1,Alphapapillomavirus 9,Alphapapillomavirus
PP213021.1,Alphapapillomavirus 9,Alphapapillomavirus
PP213022.1,Alphapapillomavirus 9,Alphapapillomavirus
PP213023.1,Alphapapillomavirus 9,Alphapapillomavirus
PP213024.1,Alphapapillomavirus 9,Alphapapillomavirus
PP213025.1,Alphapapillomavirus 9,Alphapapillomavirus
PP213026.1,Alphapapillomavirus 9,Alphapapillomavirus
PP135543.1,Taupapillomavirus 1,Taupapillomavirus
PP135544.1,Chipapillomavirus 1,Chipapillomavirus
PP135545.1,Lambdapapillomavirus 2,Lambdapapillomavirus
PP135546.1,Lambdapapillomavirus 2,Lambdapapillomavirus
PP135547.1,Lambdapapillomavirus 2,Lambdapapillomavirus
PP135548.1,Lambdapapillomavirus 2,Lambdapapillomavirus
PP135549.1,Lambdapapillomavirus 2,Lambdapapillomavirus
PP182308.1,Papillomaviridae sp.,
PP067762.1,Bovine papillomavirus,
PP067763.1,Bovine papillomavirus,
PP067764.1,Bovine papillomavirus,
PP067765.1,Bovine papillomavirus,
PP067766.1,Bovine papillomavirus,
PP067767.1,Bovine papillomavirus,
PP067768.1,Bovine papillomavirus,
PP067769.1,Bovine papillomavirus,
PP067770.1,Bovine papillomavirus,
PP067771.1,Bovine papillomavirus,
PP082031.1,Deltapapillomavirus 4,Deltapapillomavirus
PP082032.1,Deltapapillomavirus 4,Deltapapillomavirus
PP082033.1,Deltapapillomavirus 4,Deltapapillomavirus
PP082034.1,Deltapapillomavirus 4,Deltapapillomavirus
PP082035.1,Deltapapillomavirus 4,Deltapapillomavirus
PP082036.1,Deltapapillomavirus 4,Deltapapillomavirus
PP082037.1,Deltapapillomavirus 4,Deltapapillomavirus
PP082038.1,Deltapapillomavirus 4,Deltapapillomavirus
PP082039.1,Deltapapillomavirus 4,Deltapapillomavirus
PP082040.1,Deltapapillomavirus 4,Deltapapillomavirus
PP057987.1,Anas platyrhynchos papillomavirus 3,
OR861544.1,Betapapillomavirus 1,Betapapillomavirus
OR861545.1,Betapapillomavirus 1,Betapapillomavirus
OR880987.1,Alphapapillomavirus 7,Alphapapillomavirus
OR880988.1,Alphapapillomavirus 7,Alphapapillomavirus
OR880989.1,Alphapapillomavirus 7,Alphapapillomavirus
OR880990.1,Alphapapillomavirus 7,Alphapapillomavirus
OR880991.1,Alphapapillomavirus 7,Alphapapillomavirus
OR880992.1,Alphapapillomavirus 7,Alphapapillomavirus
OR880993.1,Alphapapillomavirus 7,Alphapapillomavirus
OR880994.1,Alphapapillomavirus 7,Alphapapillomavirus
OR880995.1,Alphapapillomavirus 7,Alphapapillomavirus
OR900097.1,Sturnus papillomavirus,
OR901497.1,Alphapapillomavirus 9,Alphapapillomavirus
OR901498.1,Alphapapillomavirus 9,Alphapapillomavirus
OR137574.1,Felis catus papillomavirus,
OR877087.1,Alphapapillomavirus 9,Alphapapillomavirus
OR877088.1,Alphapapillomavirus 9,Alphapapillomavirus
OR877089.1,Alphapapillomavirus 9,Alphapapillomavirus
OR877090.1,Alphapapillomavirus 9,Alphapapillomavirus
OR877091.1,Alphapapillomavirus 9,Alphapapillomavirus
OR877093.1,Alphapapillomavirus 9,Alphapapillomavirus
OR877094.1,Alphapapillomavirus 9,Alphapapillomavirus
OR877095.1,Alphapapillomavirus 9,Alphapapillomavirus
OR877096.1,Alphapapillomavirus 9,Alphapapillomavirus
OR877097.1,Alphapapillomavirus 9,Alphapapillomavirus
OR877098.1,Alphapapillomavirus 9,Alphapapillomavirus
OR877099.1,Alphapapillomavirus 9,Alphapapillomavirus
OR877100.1,Alphapapillomavirus 9,Alphapapillomavirus
OR877101.1,Alphapapillomavirus 9,Alphapapillomavirus
OR877102.1,Alphapapillomavirus 9,Alphapapillomavirus
OR877103.1,Alphapapillomavirus 9,Alphapapillomavirus
OR877104.1,Alphapapillomavirus 9,Alphapapillomavirus
OR877105.1,Alphapapillomavirus 9,Alphapapillomavirus
OR877106.1,Alphapapillomavirus 9,Alphapapillomavirus
OR877107.1,Alphapapillomavirus 9,Alphapapillomavirus
OR877108.1,Alphapapillomavirus 9,Alphapapillomavirus
OR877109.1,Alphapapillomavirus 9,Alphapapillomavirus
OR877110.1,Alphapapillomavirus 9,Alphapapillomavirus
OR877112.1,Alphapapillomavirus 9,Alphapapillomavirus
OR877113.1,Alphapapillomavirus 9,Alphapapillomavirus
OR877114.1,Alphapapillomavirus 9,Alphapapillomavirus
OR877115.1,Alphapapillomavirus 9,Alphapapillomavirus
OR877116.1,Alphapapillomavirus 9,Alphapapillomavirus
OR877117.1,Alphapapillomavirus 9,Alphapapillomavirus
OR877118.1,Alphapapillomavirus 9,Alphapapillomavirus
OR877119.1,Alphapapillomavirus 9,Alphapapillomavirus
OR877120.1,Alphapapillomavirus 9,Alphapapillomavirus
OR877121.1,Alphapapillomavirus 9,Alphapapillomavirus
OR877122.1,Alphapapillomavirus 9,Alphapapillomavirus
OR877123.1,Alphapapillomavirus 9,Alphapapillomavirus
OR877124.1,Alphapapillomavirus 9,Alphapapillomavirus
OR877125.1,Alphapapillomavirus 9,Alphapapillomavirus
OR877126.1,Alphapapillomavirus 9,Alphapapillomavirus
OR877127.1,Alphapapillomavirus 9,Alphapapillomavirus
OR877128.1,Alphapapillomavirus 9,Alphapapillomavirus
OR877129.1,Alphapapillomavirus 9,Alphapapillomavirus
OR877130.1,Alphapapillomavirus 9,Alphapapillomavirus
OR877131.1,Alphapapillomavirus 9,Alphapapillomavirus
OR877132.1,Alphapapillomavirus 9,Alphapapillomavirus
OR877133.1,Alphapapillomavirus 9,Alphapapillomavirus
OR877134.1,Alphapapillomavirus 9,Alphapapillomavirus
OQ836188.1,Felis catus papillomavirus,
OP711959.1,Alphapapillomavirus 7,Alphapapillomavirus
OP711960.1,Alphapapillomavirus 5,Alphapapillomavirus
OP711961.1,Alphapapillomavirus 10,Alphapapillomavirus
OP711962.1,Alphapapillomavirus 6,Alphapapillomavirus
OP711963.1,Alphapapillomavirus 9,Alphapapillomavirus
OP711964.1,Alphapapillomavirus 7,Alphapapillomavirus
OP711965.1,Alphapapillomavirus 3,Alphapapillomavirus
OP711966.1,Alphapapillomavirus 14,Alphapapillomavirus
OP711967.1,Alphapapillomavirus 6,Alphapapillomavirus
OP711968.1,Alphapapillomavirus 7,Alphapapillomavirus
OP711969.1,Alphapapillomavirus 10,Alphapapillomavirus
OP711970.1,Alphapapillomavirus 6,Alphapapillomavirus
OP711971.1,Alphapapillomavirus 5,Alphapapillomavirus
OP711972.1,Alphapapillomavirus 3,Alphapapillomavirus
OP711973.1,Alphapapillomavirus 3,Alphapapillomavirus
OP711974.1,Alphapapillomavirus 5,Alphapapillomavirus
OP711975.1,Alphapapillomavirus 7,Alphapapillomavirus
OP711976.1,Alphapapillomavirus 9,Alphapapillomavirus
OP711977.1,Alphapapillomavirus 9,Alphapapillomavirus
OP711978.1,Alphapapillomavirus 9,Alphapapillomavirus
OP711979.1,Alphapapillomavirus 6,Alphapapillomavirus
OP711980.1,Alphapapillomavirus 7,Alphapapillomavirus
OP711981.1,Alphapapillomavirus 10,Alphapapillomavirus
OP711982.1,Alphapapillomavirus 10,Alphapapillomavirus
OP711983.1,Alphapapillomavirus 9,Alphapapillomavirus
OP711984.1,Alphapapillomavirus 6,Alphapapillomavirus
OP711985.1,Alphapapillomavirus 7,Alphapapillomavirus
OP711986.1,Alphapapillomavirus 9,Alphapapillomavirus
OP711987.1,Alphapapillomavirus 9,Alphapapillomavirus
OP711988.1,Alphapapillomavirus 5,Alphapapillomavirus
OP711989.1,Alphapapillomavirus 6,Alphapapillomavirus
OP711990.1,Alphapapillomavirus 9,Alphapapillomavirus
OP711991.1,Alphapapillomavirus 7,Alphapapillomavirus
OP711992.1,Alphapapillomavirus 3,Alphapapillomavirus
OP711993.1,Alphapapillomavirus 9,Alphapapillomavirus
OP711994.1,Alphapapillomavirus 14,Alphapapillomavirus
OP711995.1,Alphapapillomavirus 7,Alphapapillomavirus
OP711996.1,Alphapapillomavirus 11,Alphapapillomavirus
OP711997.1,Alphapapillomavirus 1,Alphapapillomavirus
OP711998.1,Alphapapillomavirus 5,Alphapapillomavirus
OP711999.1,Alphapapillomavirus 3,Alphapapillomavirus
OP712000.1,Alphapapillomavirus 11,Alphapapillomavirus
OP712001.1,Alphapapillomavirus 5,Alphapapillomavirus
OP712002.1,Alphapapillomavirus 6,Alphapapillomavirus
OP712003.1,Alphapapillomavirus 7,Alphapapillomavirus
OP712004.1,Alphapapillomavirus 9,Alphapapillomavirus
OP712005.1,Alphapapillomavirus 9,Alphapapillomavirus
OP712006.1,Alphapapillomavirus 1,Alphapapillomavirus
OP712007.1,Alphapapillomavirus 7,Alphapapillomavirus
OP712008.1,Alphapapillomavirus 7,Alphapapillomavirus
OP712009.1,Alphapapillomavirus 11,Alphapapillomavirus
OP712010.1,Alphapapillomavirus 11,Alphapapillomavirus
OP712011.1,Alphapapillomavirus 7,Alphapapillomavirus
OP712012.1,Alphapapillomavirus 10,Alphapapillomavirus
OP712013.1,Alphapapillomavirus 3,Alphapapillomavirus
OP712014.1,Alphapapillomavirus 7,Alphapapillomavirus
OP712015.1,Alphapapillomavirus 9,Alphapapillomavirus
OP712016.1,Alphapapillomavirus 6,Alphapapillomavirus
OP712017.1,Gammapapillomavirus 6,Gammapapillomavirus
OP712018.1,Alphapapillomavirus 9,Alphapapillomavirus
OP712019.1,Alphapapillomavirus 6,Alphapapillomavirus
OP712020.1,Alphapapillomavirus 3,Alphapapillomavirus
OP712021.1,Alphapapillomavirus 9,Alphapapillomavirus
OP712022.1,Alphapapillomavirus 9,Alphapapillomavirus
OP712023.1,Alphapapillomavirus 7,Alphapapillomavirus
OP712024.1,Alphapapillomavirus 3,Alphapapillomavirus
OP712025.1,Alphapapillomavirus 9,Alphapapillomavirus
OP712026.1,Alphapapillomavirus 5,Alphapapillomavirus
OP712027.1,Alphapapillomavirus 1,Alphapapillomavirus
OP712028.1,Alphapapillomavirus 7,Alphapapillomavirus
OP712029.1,Alphapapillomavirus 7,Alphapapillomavirus
OP712030.1,Alphapapillomavirus 11,Alphapapillomavirus
OP712031.1,Alphapapillomavirus 9,Alphapapillomavirus
OP712032.1,Alphapapillomavirus 8,Alphapapillomavirus
OP712033.1,Alphapapillomavirus 6,Alphapapillomavirus
OP712034.1,Alphapapillomavirus 13,Alphapapillomavirus
OP712035.1,Alphapapillomavirus 6,Alphapapillomavirus
OP712036.1,Alphapapillomavirus 9,Alphapapillomavirus
OP712037.1,Alphapapillomavirus 10,Alphapapillomavirus
OP712038.1,Alphapapillomavirus 11,Alphapapillomavirus
OP712039.1,Alphapapillomavirus 7,Alphapapillomavirus
OP712040.1,Alphapapillomavirus 5,Alphapapillomavirus
OP712041.1,Alphapapillomavirus 9,Alphapapillomavirus
OP712042.1,Alphapapillomavirus 1,Alphapapillomavirus
OP712043.1,Alphapapillomavirus 9,Alphapapillomavirus
OP712044.1,Alphapapillomavirus 1,Alphapapillomavirus
OP712045.1,Alphapapillomavirus 8,Alphapapillomavirus
OP712046.1,Alphapapillomavirus 10,Alphapapillomavirus
OP712047.1,Alphapapillomavirus 9,Alphapapillomavirus
OP712048.1,Alphapapillomavirus 6,Alphapapillomavirus
OP712049.1,Alphapapillomavirus 6,Alphapapillomavirus
OP712050.1,Alphapapillomavirus 7,Alphapapillomavirus
OP712051.1,Alphapapillomavirus 10,Alphapapillomavirus
OP712052.1,Alphapapillomavirus 3,Alphapapillomavirus
OP712053.1,Alphapapillomavirus 3,Alphapapillomavirus
OP712054.1,Alphapapillomavirus 10,Alphapapillomavirus
OP712055.1,Alphapapillomavirus 14,Alphapapillomavirus
OP712056.1,Alphapapillomavirus 7,Alphapapillomavirus
OP712057.1,Alphapapillomavirus 5,Alphapapillomavirus
OP712058.1,Alphapapillomavirus 6,Alphapapillomavirus
OP712059.1,Alphapapillomavirus 6,Alphapapillomavirus
OP712060.1,Alphapapillomavirus 10,Alphapapillomavirus
OP712061.1,Alphapapillomavirus 7,Alphapapillomavirus
OP712062.1,Alphapapillomavirus 9,Alphapapillomavirus
OP712063.1,Alphapapillomavirus 6,Alphapapillomavirus
OP712064.1,Alphapapillomavirus 9,Alphapapillomavirus
OP712065.1,Alphapapillomavirus 10,Alphapapillomavirus
OP712066.1,Alphapapillomavirus 3,Alphapapillomavirus
OP712067.1,Alphapapillomavirus 9,Alphapapillomavirus
OP712068.1,Alphapapillomavirus 3,Alphapapillomavirus
OP712069.1,Alphapapillomavirus 5,Alphapapillomavirus
OP712070.1,Alphapapillomavirus 7,Alphapapillomavirus
OP712071.1,Alphapapillomavirus 7,Alphapapillomavirus
OP712072.1,Alphapapillomavirus 9,Alphapapillomavirus
OP712073.1,Alphapapillomavirus 1,Alphapapillomavirus
OP712074.1,Alphapapillomavirus 7,Alphapapillomavirus
OP712075.1,Alphapapillomavirus 6,Alphapapillomavirus
OP712076.1,Alphapapillomavirus 7,Alphapapillomavirus
OP712077.1,Alphapapillomavirus 6,Alphapapillomavirus
OP712078.1,Alphapapillomavirus 3,Alphapapillomavirus
OP712079.1,Alphapapillomavirus 9,Alphapapillomavirus
OP712080.1,Alphapapillomavirus 5,Alphapapillomavirus
OP712081.1,Alphapapillomavirus 3,Alphapapillomavirus
OP712082.1,Alphapapillomavirus 3,Alphapapillomavirus
OP712083.1,Alphapapillomavirus 3,Alphapapillomavirus
OP712084.1,Alphapapillomavirus 10,Alphapapillomavirus
OP712085.1,Alphapapillomavirus 9,Alphapapillomavirus
OP712086.1,Alphapapillomavirus 8,Alphapapillomavirus
OP712087.1,Alphapapillomavirus 6,Alphapapillomavirus
OP712088.1,Alphapapillomavirus 13,Alphapapillomavirus
OP712089.1,Alphapapillomavirus 6,Alphapapillomavirus
OP712090.1,Alphapapillomavirus 9,Alphapapillomavirus
OP712091.1,Alphapapillomavirus 10,Alphapapillomavirus
OP712092.1,Alphapapillomavirus 3,Alphapapillomavirus
OP712093.1,Alphapapillomavirus 1,Alphapapillomavirus
OP712094.1,Alphapapillomavirus 11,Alphapapillomavirus
OP712095.1,Alphapapillomavirus 7,Alphapapillomavirus
OP712096.1,Alphapapillomavirus 5,Alphapapillomavirus
OP712097.1,Alphapapillomavirus 9,Alphapapillomavirus
OP712098.1,Alphapapillomavirus 1,Alphapapillomavirus
OP712099.1,Alphapapillomavirus 9,Alphapapillomavirus
OP712100.1,Alphapapillomavirus 8,Alphapapillomavirus
OP712101.1,Alphapapillomavirus 10,Alphapapillomavirus
OP712102.1,Alphapapillomavirus 9,Alphapapillomavirus
OP712103.1,Alphapapillomavirus 6,Alphapapillomavirus
OP712104.1,Alphapapillomavirus 7,Alphapapillomavirus
OP712105.1,Alphapapillomavirus 3,Alphapapillomavirus
OP712106.1,Alphapapillomavirus 7,Alphapapillomavirus
OP712107.1,Alphapapillomavirus 3,Alphapapillomavirus
OP712108.1,Alphapapillomavirus 10,Alphapapillomavirus
OP712109.1,Alphapapillomavirus 3,Alphapapillomavirus
OP712110.1,Alphapapillomavirus 3,Alphapapillomavirus
OP712111.1,Alphapapillomavirus 14,Alphapapillomavirus
OP712112.1,Alphapapillomavirus 7,Alphapapillomavirus
OP712113.1,Alphapapillomavirus 10,Alphapapillomavirus
OR770706.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770707.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770708.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770709.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770710.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770711.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770712.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770713.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770714.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770715.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770716.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770717.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770718.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770719.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770720.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770721.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770722.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770723.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770724.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770725.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770726.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770727.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770728.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770729.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770730.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770731.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770732.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770733.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770734.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770735.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770736.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770737.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770738.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770739.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770740.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770741.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770742.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770743.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770744.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770745.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770746.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770747.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770748.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770749.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770750.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770751.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770752.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770753.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770754.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770755.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770756.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770757.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770758.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770759.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770760.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770761.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770762.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770763.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770764.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770765.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770766.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770767.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770768.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770769.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770770.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770771.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770772.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770773.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770774.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770775.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770776.1,Alphapapillomavirus 9,Alphapapillomavirus
OR770777.1,Alphapapillomavirus 9,Alphapapillomavirus
