id,label,xref
DOID:4817,ganglioneuroma,UMLS_CUI:C0017075
DOID:4817,ganglioneuroma,UMLS_CUI:C1513025
DOID:482,hemangioma of peripheral nerve,NCI:C27507
DOID:482,hemangioma of peripheral nerve,UMLS_CUI:C1333956
DOID:4829,adenosquamous lung carcinoma,NCI:C9133
DOID:4829,adenosquamous lung carcinoma,SNOMEDCT_US_2023_03_01:1260042002
DOID:4829,adenosquamous lung carcinoma,UMLS_CUI:C0279557
DOID:4830,adenosquamous carcinoma,ICDO:8560/3
DOID:4830,adenosquamous carcinoma,MESH:D018196
DOID:4830,adenosquamous carcinoma,NCI:C3727
DOID:4830,adenosquamous carcinoma,SNOMEDCT_US_2023_03_01:403902008
DOID:4830,adenosquamous carcinoma,UMLS_CUI:C0206623
DOID:4838,myoepithelial carcinoma,GARD:10558
DOID:4838,myoepithelial carcinoma,ICDO:8982/3
DOID:4838,myoepithelial carcinoma,NCI:C7596
DOID:4838,myoepithelial carcinoma,SNOMEDCT_US_2023_03_01:24292006
DOID:4838,myoepithelial carcinoma,UMLS_CUI:C0334699
DOID:4839,sebaceous adenocarcinoma,MESH:D018266
DOID:4839,sebaceous adenocarcinoma,NCI:C40310
DOID:4839,sebaceous adenocarcinoma,SNOMEDCT_US_2023_03_01:54734006
