"acc","librarysource"
"SRR27078650","METAGENOMIC"
"SRR27078515","METAGENOMIC"
"SRR25288546","VIRAL RNA"
"SRR9112950","GENOMIC"
"SRR14340910","TRANSCRIPTOMIC"
"DRR125239","GENOMIC"
"SRR21148533","GENOMIC"
"SRR14010429","GENOMIC"
"SRR22765765","GENOMIC"
"SRR18400672","GENOMIC"
"SRR12709894","GENOMIC"
"SRR12709433","GENOMIC"
"SRR25288835","VIRAL RNA"
"SRR24307131","METAGENOMIC"
"SRR24307062","METAGENOMIC"
"SRR22765755","GENOMIC"
"SRR9281010","GENOMIC"
"SRR25256529","GENOMIC"
"SRR15719350","METATRANSCRIPTOMIC"
"SRR12709953","GENOMIC"
"SRR13235000","GENOMIC"
"SRR25663668","GENOMIC"
"SRR22071729","METATRANSCRIPTOMIC"
"DRR125339","GENOMIC"
"SRR18243957","GENOMIC"
"SRR11108590","OTHER"
"SRR22421698","GENOMIC"
"SRR8615013","TRANSCRIPTOMIC"
"SRR12886421","TRANSCRIPTOMIC"
